date,btc_monthly_price,btc_open,btc_high,btc_low,btc_close,btc_volume,tot_for_purch_us_sec,tot_for_sale_us_sec,net_tot_for_purch_us_sec,net_tot_priv_for_purch_us_sec,net_priv_for_purch_us_treas_bond_note,net_priv_for_purch_us_gov_agcy_bond,net_priv_for_purch_us_corp_bond,net_priv_for_purch_us_equity,net_tot_gov_for_purch_us_sec,net_gov_for_purch_us_treas_bond_note,net_gov_for_purch_us_gov_agcy_bond,net_gov_for_purch_us_corp_bond,net_gov_for_purch_us_equity,tot_dom_sale_for_sec,tot_dom_purch_for_sec,net_dom_purch_for_sec,net_dom_purch_for_bond,net_dom_purch_for_equity,net_for_purch_dom_longterm_sec,net_for_purch_us_t_bills_custodial,tot_for_hold_us_t_bills,tot_priv_for_hold_us_t_bills,tot_gov_for_hold_us_t_bills,tot_month_change_dom_bank_liab_for_inflow,month_change_bank_liab_priv_for_inflow,month_change_bank_liab_gov_for_inflow,month_change_bank_liab_all_for_inflow,cpi_u,gold_price,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume,usdx_close,usdx_open,usdx_high,usdx_low,10yr_bond_close,10yr_bond_open,10yr_bond_high,10yr_bond_low,10yr_bond_pct_change
2023-Sep,26298.13,25934.02081,27488.7638,24930.29749,26967.9163,5.71E+11,4197842,4182718,15124,13560,-13008,22377,15474,-11283,1564,15721,247,822,-15226,984615,984092,523,-234,757,15647,-25102,24656,27949,-3293,-33668,-43123,-30881,-12242,307.789,1915.95,4530.6,4541.25,4238.63,4288.05,73482980000,106.494,105.88,107.05,105.155,4.579,4.114,4.688,4.06,0.1152
2023-Aug,27883.73,29230.8724,30176.79624,25409.1116,25931.47289,4.76E+11,4637134,4552938,84196,78740,22336,12974,45669,-2239,5456,-5347,1119,7394,2290,974079,971190,2889,91,2798,87085,32741,39036,37843,1193,27033,146859,152764,-5905,307.026,1918.7,4578.83,4584.62,4335.31,4507.66,86840820000,105.815,103.585,106.54,103.215,4.106,3.965,4.366,3.949,0.0351
2023-Jul,30089.19,30471.84756,31814.51481,28934.29416,29230.11088,3.38E+11,4319300,4269591,49709,62998,23066,7226,13224,19482,-13289,-23468,1756,407,8016,845273,883729,-38456,-5494,-32962,11253,74187,34954,18735,16219,47250,132690,136054,-3364,305.691,1951.02,4450.48,4607.07,4385.05,4588.96,75063200000,103.587,101.66,104.385,101.55,3.967,3.845,4.094,3.727,0.0329
2023-Jun,27719.01,27218.41238,31389.53813,24797.16785,30477.25128,4.38E+11,4676942,4437254,239688,182758,34823,15046,26592,106297,56930,26055,12360,1329,17186,985655,1034853,-49198,-13295,-35903,190490,-34479,62219,76286,-14067,-61124,94887,89688,5199,305.109,1942.9,4183.03,4458.48,4171.64,4450.38,87983140000,101.626,102.645,103.275,99.22,3.841,3.639,3.892,3.57,0.0533
2023-May,27516.03,29227.10398,29820.12662,25878.42883,27219.65861,3.82E+11,4334646,4279430,55216,17152,7899,4450,41574,-36771,38064,26831,5553,2108,3572,945392,981777,-36385,-30886,-5499,18831,-57602,-17712,-20787,3075,-129463,-168234,-165142,-3092,304.127,1992.13,4166.79,4231.1,4048.28,4179.83,88929200000,102.587,104.105,104.44,101.485,3.646,3.45,3.859,3.296,0.0621
2023-Apr,28845.48,28473.3318,31005.60804,27070.8495,29268.80704,4.82E+11,3727042,3644958,82084,46015,65617,11025,9678,-40305,36069,35462,1374,-471,-296,912077,901699,10378,9161,1217,92462,-14108,-44880,-23955,-20925,-66397,11957,-31775,43732,303.363,1999.77,4102.2,4170.06,4049.35,4169.48,70861260000,104.245,101.405,104.615,100.52,3.433,3.524,3.639,3.253,-0.0115
2023-Mar,25041.2,23150.92996,29159.90262,19628.25431,28478.48461,4.43E+11,4917607,4775538,142069,109501,52437,5293,30958,20813,32568,5217,14034,6433,6884,1342541,1310561,31980,-7042,39022,173786,-5828,-3164,1504,-4668,-69033,98925,73136,25789,301.836,1912.73,3963.34,4110.75,3808.86,4109.31,1.13E+11,101.403,102.27,102.745,100.42,3.473,3.938,4.091,3.285,-0.1157
2023-Feb,23309.5,23137.83514,25134.11735,21460.0885,23147.35339,5.31E+11,3930130,3773601,156529,94323,26455,10687,39699,17482,62206,47409,2609,-915,13103,1114772,1123854,-9082,-23703,14621,147449,-32570,25544,18202,7342,-12781,102098,28864,73233,300.84,1854.54,4070.07,4195.44,3943.08,3970.15,80392280000,102.186,104.985,105.87,101.555,3.928,3.516,3.983,3.333,0.1189
2023-Jan,20153.14,16547.9144,23919.88976,16521.23343,23139.28391,8.83E+11,4128668,4098009,30659,83966,96027,4927,3075,-20063,-53307,-46148,952,-653,-7458,2471251,2471119,132,8121,-7989,21694,-4423,-9747,-20630,10883,169679,186950,170970,15980,299.17,1897.71,3853.29,4094.21,3794.33,4076.6,80763810000,104.825,101.925,105.32,100.68,3.51,3.848,3.848,3.321,-0.0949
2022-Dec,16957.88,17168.00214,18318.53058,16398.13625,16547.49537,7.24E+11,4054554,3951270,103284,102273,22404,12558,13798,53513,1011,-2426,1389,581,1467,2150561,2101090,49471,29649,19822,142945,58694,44064,22514,21550,-169440,32199,39046,-6847,296.797,1797.55,4087.14,4100.96,3764.49,3839.5,85249330000,101.915,103.445,105.5,101.265,3.879,3.62,3.905,3.402,0.0741
2022-Nov,17648.85,20494.89762,21446.8861,15599.04718,17168.56555,6.91E+11,4502909,4362287,140622,152807,67234,17830,21084,46659,-12185,-13025,4167,425,-3752,2434289,2403395,30894,28613,2281,165278,-1037,4688,-8660,13348,63208,227449,222335,5115,297.711,1725.07,3901.79,4080.11,3698.15,4080.11,92671910000,103.269,105.57,105.86,103.145,3.611,4.058,4.243,3.6,-0.1084
2022-Oct,19629.41,19431.10495,20988.39447,18319.82263,20495.77423,5.67E+11,4517397,4453717,63680,72003,85780,12714,2330,-28821,-8323,-23873,11533,-435,4452,2171834,2167676,4158,10960,-6802,50725,3846,-18374,-2182,-16192,122639,177210,159643,17567,298.012,1664.45,3609.78,3905.42,3491.58,3871.98,95823760000,105.897,111.44,113.045,105.155,4.05,3.813,4.338,3.562,0.0578
2022-Sep,19798.14,20050.49867,22673.81977,18290.31519,19431.78945,1.22E+12,4809181,4715789,93392,116384,97971,14871,7415,-3873,-22992,-37541,13397,-1892,3044,2465692,2441427,24265,11649,12616,104373,-9109,-9463,992,-10455,-60397,34866,46359,-11492,296.808,1680.78,3936.73,4119.28,3584.13,3585.62,94241020000,111.42,112.15,113.85,109.365,3.829,3.198,4.019,3.174,0.1978
2022-Aug,22446.08,23336.71805,25135.5904,19600.78503,20049.76319,9.58E+11,5152870,4977069,175801,185579,182851,12815,8298,-18385,-9778,-7689,5714,1206,-9009,2302288,2279821,22467,23563,-1096,186659,52884,45023,48576,-3553,35625,275168,285217,-10049,296.171,1764.56,4112.38,4325.28,3954.53,3955,92252350000,112.084,108.825,114.745,107.67,3.196,2.669,3.198,2.516,0.2027
2022-Jul,21483.78,19820.47047,24572.57942,18966.95063,23336.8956,1.12E+12,3970357,3976256,-5899,-12044,25996,12867,6186,-57093,6145,-2977,9750,2598,-3226,2130934,2103708,27226,36138,-8912,6137,56188,-11387,-7067,-4320,122252,184577,155973,28605,296.276,1732.74,3781,4140.15,3721.56,4130.29,81688320000,108.665,105.73,109.445,104.515,2.658,3.024,3.103,2.618,-0.119
2022-Jun,24536.98,31792.55381,31957.28432,17708.62371,19784.72649,8.94E+11,5236469,5165225,71244,66806,65067,17073,11903,-27237,4438,-6169,6645,2089,1873,2207178,2156660,50518,32783,17735,104900,-51715,-17405,-7142,-10263,-87169,-33984,-23285,-10700,296.311,1836.57,4149.78,4177.51,3636.87,3785.38,1.06E+11,105.779,104.515,109.14,104.515,3.017,2.864,3.498,2.833,0.0586
2022-May,31791.46,37713.26509,39902.95021,26350.49017,31792.30994,9.28E+11,5904174,5771715,132459,140778,133936,13951,3166,-10275,-8319,-34072,23332,1296,1125,2285285,2262484,22801,13156,9645,137667,-16852,-74720,-66709,-8011,65757,186572,215731,-29159,292.296,1848.5,4130.61,4307.66,3810.32,4132.15,1.09E+11,104.464,101.77,105.565,101.66,2.849,2.932,3.203,2.706,-0.03
2022-Apr,41565.8,45554.16381,47313.47685,37697.94278,37714.87555,9.24E+11,5064520,5013618,50902,34804,10942,9231,19829,-5198,16098,-12331,27483,2630,-1684,2038437,2001723,36714,29231,7483,67720,-36172,-20836,-17761,-3075,-40133,-8585,-28636,20050,289.109,1936.86,4540.32,4593.45,4124.28,4131.93,90367840000,101.766,103.225,105.065,101.3,2.938,2.352,2.981,2.352,0.2526
2022-Mar,41936.54,43194.50421,48086.83675,37260.20171,45538.67692,1.09E+12,6718867,6698526,20341,29374,81228,10038,28753,-90645,-9033,-32274,22354,4664,-3777,2721912,2718602,3310,7345,-4035,10223,12147,-16426,2230,-18656,95345,117715,130018,-12303,287.504,1947.83,4363.14,4637.3,4157.87,4530.41,1.24E+11,102.963,98.36,103.95,98.345,2.345,1.84,2.557,1.668,0.2874
2022-Feb,40669.51,38481.76537,45661.17314,34459.21773,43193.23403,8.30E+11,5763269,5668664,94605,87207,91566,1615,18637,-24611,7398,-13191,19662,1690,-763,2016399,1966018,50381,35343,15038,159904,59214,27964,16344,11620,-44468,174650,196082,-21433,283.716,1856.3,4519.57,4595.31,4114.65,4373.94,92667710000,98.36,96.81,99.425,96.625,1.822,1.787,2.065,1.739,0.0212
2022-Jan,41175.69,46311.74466,47881.40623,33184.05957,38483.12631,8.31E+11,5743805,5689544,54261,29490,62338,5951,5867,-44666,24771,12281,16683,1769,-5962,1910715,1906390,4325,23215,-18890,33580,66162,9450,-9631,19081,155255,254997,198422,56574,281.148,1816.02,4778.14,4818.62,4222.62,4515.55,95562890000,96.694,96.695,97.735,95.145,1.784,1.531,1.902,1.529,0.1799
2021-Dec,49441.09,56907.96673,59041.68524,42874.61686,46306.44612,6.71E+11,5671456,5594569,76887,77487,53882,-194,-5700,29499,-600,-9680,6444,1685,951,1740567,1702940,37627,32506,5121,85446,46897,11988,3871,8117,-180802,-48459,-43435,-5025,278.802,1790.43,4602.82,4808.93,4495.12,4766.18,92750180000,96.537,95.6,97.44,94.61,1.512,1.477,1.56,1.335,0.0382
2021-Nov,60703.98,61320.44949,68789.62594,53569.76396,57005.42547,9.24E+11,5834183,5730400,103783,127928,97906,11762,9087,9173,-24145,-31851,7789,738,-821,2339995,2305872,34123,27878,6245,105653,54223,12806,20999,-8193,54236,214112,275073,-60961,277.948,1821.76,4610.62,4743.83,4560,4567,88268840000,95.593,95.96,96.895,95.575,1.456,1.575,1.693,1.412,-0.0671
2021-Oct,57616.39,43816.74064,66930.38727,43320.02298,61318.95777,9.57E+11,5082558,5104652,-22094,-46454,-50865,15300,11489,-22378,24360,7343,15960,506,551,2195330,2166169,29161,33297,-4136,-26274,62638,34234,41931,-7697,117027,153391,141478,11913,276.589,1776.85,4317.16,4608.08,4278.94,4605.38,80253600000,96.007,94.12,96.94,93.8,1.561,1.501,1.705,1.453,0.0458
2021-Sep,45939.51,47099.77487,52853.7638,39787.6098,43790.89563,1.05E+12,5324338,5310107,14231,14440,8946,16866,1342,-12714,-209,-7582,5860,-250,1763,2312107,2299688,12419,22078,-9659,-10156,-11557,3929,6506,-2577,15120,-6593,-14725,8131,274.31,1775.14,4528.8,4545.85,4305.91,4307.54,85528860000,94.121,94.32,94.57,93.265,1.492,1.317,1.567,1.26,0.1418
2021-Aug,45593.78,41460.84408,50482.07641,37458.00399,47166.68795,1.15E+12,5273975,5200078,73897,82321,53413,6505,14414,7989,-8424,-20988,11531,389,644,2053201,2047655,5546,18656,-13110,43690,35355,-465,17911,-18376,-14911,64134,81385,-17252,273.567,1785.28,4406.86,4537.36,4367.73,4522.68,80500760000,94.24,92.67,94.52,91.8,1.307,1.237,1.379,1.127,0.0665
2021-Jul,34317.93,35035.98271,42235.54771,29360.95584,41626.19568,1.10E+12,4722545,4736934,-14389,-23308,10398,5952,-10716,-28942,8919,-206,14791,-301,-5365,2281217,2264973,16244,33792,-17548,-34842,66361,-1829,-8731,6902,202538,234057,187530,46527,273.003,1807.84,4300.73,4429.97,4233.13,4395.26,84255620000,92.635,92.15,93.75,91.82,1.226,1.47,1.485,1.128,-0.1651
